"Endpoint","Result"
"resourceOperations","SUCCESS: resourceOperations: Retrieved 255 records."
"userExperienceAnalyticsAnomalyCorrelationGroupOverview","ERROR: userExperienceAnalyticsAnomalyCorrelationGroupOverview: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"deviceShellScripts","ERROR: deviceShellScripts: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"deviceComplianceScripts","ERROR: deviceComplianceScripts: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"dataSharingConsents","ERROR: dataSharingConsents: ERROR: Response status code does not indicate success: BadRequest (Bad Request)."
"deviceConfigurations","SUCCESS: deviceConfigurations: Retrieved 1 records."
"userExperienceAnalyticsScoreHistory","ERROR: userExperienceAnalyticsScoreHistory: ERROR: Response status code does not indicate success: BadRequest (Bad Request)."
"hardwarePasswordDetails","ERROR: hardwarePasswordDetails: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"reusableSettings","SUCCESS: reusableSettings: Retrieved 31 records."
"templateSettings","ERROR: templateSettings: ERROR: Response status code does not indicate success: BadRequest (Bad Request)."
"androidForWorkEnrollmentProfiles","SUCCESS: androidForWorkEnrollmentProfiles: Retrieved 1 records."
"userExperienceAnalyticsAnomaly","ERROR: userExperienceAnalyticsAnomaly: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"serviceNowConnections","ERROR: serviceNowConnections: ERROR: Response status code does not indicate success: Unauthorized (Unauthorized)."
"configurationCategories","SUCCESS: configurationCategories: Retrieved 1003 records."
"notificationMessageTemplates","SUCCESS: notificationMessageTemplates: Retrieved 1 records."
"detectedApps","SUCCESS: detectedApps: Retrieved 330 records."
"configurationPolicyTemplates","SUCCESS: configurationPolicyTemplates: Retrieved 59 records."
"androidDeviceOwnerEnrollmentProfiles","SUCCESS: androidDeviceOwnerEnrollmentProfiles: Retrieved 1 records."
"exchangeOnPremisesPolicies","ERROR: exchangeOnPremisesPolicies: ERROR: Response status code does not indicate success: BadRequest (Bad Request)."
"userExperienceAnalyticsBatteryHealthDeviceAppImpact","ERROR: userExperienceAnalyticsBatteryHealthDeviceAppImpact: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"zebraFotaArtifacts","ERROR: zebraFotaArtifacts: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"deviceManagementPartners","SUCCESS: deviceManagementPartners: Retrieved 1 records."
"roleScopeTags","SUCCESS: roleScopeTags: Retrieved 1 records."
"userExperienceAnalyticsRemoteConnection","ERROR: userExperienceAnalyticsRemoteConnection: ERROR: Response status code does not indicate success: InternalServerError (Internal Server Error)."
"configurationSettings","SUCCESS: configurationSettings: Retrieved 17620 records."
"hardwarePasswordInfo","ERROR: hardwarePasswordInfo: ERROR: Response status code does not indicate success: BadRequest (Bad Request)."
"userExperienceAnalyticsImpactingProcess","ERROR: userExperienceAnalyticsImpactingProcess: ERROR: Response status code does not indicate success: InternalServerError (Internal Server Error)."
"cloudCertificationAuthority","ERROR: cloudCertificationAuthority: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"userExperienceAnalyticsBatteryHealthDeviceRuntimeHistory","ERROR: userExperienceAnalyticsBatteryHealthDeviceRuntimeHistory: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"userExperienceAnalyticsCategories","ERROR: userExperienceAnalyticsCategories: ERROR: Response status code does not indicate success: InternalServerError (Internal Server Error)."
"userExperienceAnalyticsBatteryHealthOsPerformance","ERROR: userExperienceAnalyticsBatteryHealthOsPerformance: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"groupPolicyDefinitionFiles","SUCCESS: groupPolicyDefinitionFiles: Retrieved 363 records."
"cloudCertificationAuthorityLeafCertificate","ERROR: cloudCertificationAuthorityLeafCertificate: ERROR: Response status code does not indicate success: NotFound (Not Found)."
"operationApprovalRequests","ERROR: operationApprovalRequests: ERROR: Response status code does not indicate success: BadRequest (Bad Request)."
"complianceCategories","SUCCESS: complianceCategories: Retrieved 5 records."
"remoteAssistancePartners","SUCCESS: remoteAssistancePartners: Retrieved 1 records."
"userExperienceAnalyticsAnomalyDevice","ERROR: userExperienceAnalyticsAnomalyDevice: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"userExperienceAnalyticsBatteryHealthDevicePerformance","ERROR: userExperienceAnalyticsBatteryHealthDevicePerformance: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"settingDefinitions","SUCCESS: settingDefinitions: Retrieved 4506 records."
"deviceCustomAttributeShellScripts","ERROR: deviceCustomAttributeShellScripts: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"complianceSettings","SUCCESS: complianceSettings: Retrieved 21 records."
"userExperienceAnalyticsDeviceTimelineEvent","ERROR: userExperienceAnalyticsDeviceTimelineEvent: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"remoteActionAudits","SUCCESS: remoteActionAudits: Retrieved 1 records."
"auditEvents","SUCCESS: auditEvents: Retrieved 107 records."
"windowsAutopilotDeploymentProfiles","SUCCESS: windowsAutopilotDeploymentProfiles: Retrieved 1 records."
"chromeOSOnboardingSettings","ERROR: chromeOSOnboardingSettings: ERROR: Response status code does not indicate success: Unauthorized (Unauthorized)."
"deviceManagementScripts","ERROR: deviceManagementScripts: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"zebraFotaDeployments","ERROR: zebraFotaDeployments: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"intuneBrandingProfiles","SUCCESS: intuneBrandingProfiles: Retrieved 1 records."
"microsoftTunnelHealthThresholds","SUCCESS: microsoftTunnelHealthThresholds: Retrieved 13 records."
"managedDeviceWindowsOSImages","ERROR: managedDeviceWindowsOSImages: ERROR: Response status code does not indicate success: Unauthorized (Unauthorized)."
"templates","SUCCESS: templates: Retrieved 16 records."
"deviceCompliancePolicySettingStateSummaries","SUCCESS: deviceCompliancePolicySettingStateSummaries: Retrieved 3 records."
"managedDeviceEncryptionStates","SUCCESS: managedDeviceEncryptionStates: Retrieved 4 records."
"androidManagedStoreAppConfigurationSchemas","ERROR: androidManagedStoreAppConfigurationSchemas: ERROR: Response status code does not indicate success: BadRequest (Bad Request)."
"templateInsights","ERROR: templateInsights: ERROR: Response status code does not indicate success: BadRequest (Bad Request)."
"userExperienceAnalyticsBatteryHealthModelPerformance","ERROR: userExperienceAnalyticsBatteryHealthModelPerformance: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"windowsUpdateCatalogItems","SUCCESS: windowsUpdateCatalogItems: Retrieved 115 records."
"complianceManagementPartners","SUCCESS: complianceManagementPartners: Retrieved 21 records."
"configManagerCollections","ERROR: configManagerCollections: ERROR: Response status code does not indicate success: InternalServerError (Internal Server Error)."
"windowsMalwareInformation","SUCCESS: windowsMalwareInformation: Retrieved 12 records."
"managedDevices","SUCCESS: managedDevices: Retrieved 4 records."
"exchangeConnectors","ERROR: exchangeConnectors: ERROR: Response status code does not indicate success: NotImplemented (Not Implemented)."
"deviceHealthScripts","ERROR: deviceHealthScripts: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"userExperienceAnalyticsWorkFromAnywhereMetrics","ERROR: userExperienceAnalyticsWorkFromAnywhereMetrics: ERROR: Response status code does not indicate success: BadRequest (Bad Request)."
"groupPolicyCategories","SUCCESS: groupPolicyCategories: Retrieved 1345 records."
"androidForWorkAppConfigurationSchemas","ERROR: androidForWorkAppConfigurationSchemas: ERROR: Response status code does not indicate success: BadRequest (Bad Request)."
"certificateConnectorDetails","ERROR: certificateConnectorDetails: ERROR: Response status code does not indicate success: BadRequest (Bad Request)."
"deviceCompliancePolicies","SUCCESS: deviceCompliancePolicies: Retrieved 1 records."
"roleDefinitions","SUCCESS: roleDefinitions: Retrieved 9 records."
"deviceEnrollmentConfigurations","SUCCESS: deviceEnrollmentConfigurations: Retrieved 5 records."
"mobileAppTroubleshootingEvents","ERROR: mobileAppTroubleshootingEvents: ERROR: Response status code does not indicate success: BadRequest (Bad Request)."
"userExperienceAnalyticsBatteryHealthAppImpact","ERROR: userExperienceAnalyticsBatteryHealthAppImpact: ERROR: Response status code does not indicate success: Forbidden (Forbidden)."
"groupPolicyConfigurations","SUCCESS: groupPolicyConfigurations: Retrieved 1 records."
"groupPolicyDefinitions","SUCCESS: groupPolicyDefinitions: Retrieved 8065 records."
"windowsAutopilotDeviceIdentities","SUCCESS: windowsAutopilotDeviceIdentities: Retrieved 3 records."
"categories","SUCCESS: categories: Retrieved 191 records."
