"Root","Type","Endpoints","Uri"
"deviceManagement","deviceManagement","147","/beta/deviceManagement"
"me","user","50","/beta/me"
"deviceAppManagement","deviceAppManagement","25","/beta/deviceAppManagement"
"policies","policyRoot","19","/beta/policies"
"security","security","16","/beta/security"
"directory","directory","16","/beta/directory"
"reports","reportRoot","14","/beta/reports"
"identity","identityContainer","10","/beta/identity"
"auditLogs","auditLogRoot","9","/beta/auditLogs"
"dataClassification","dataClassificationService","9","/beta/dataClassification"
"print","print","7","/beta/print"
"communications","cloudCommunications","6","/beta/communications"
"identityProtection","identityProtectionRoot","6","/beta/identityProtection"
"teamwork","teamwork","5","/beta/teamwork"
"employeeExperience","employeeExperience","5","/beta/employeeExperience"
"drive","drive","5","/beta/drive"
"conditionalAccess","conditionalAccessRoot","4","/beta/conditionalAccess"
"planner","planner","4","/beta/planner"
"copilot","copilotRoot","3","/beta/copilot"
"informationProtection","informationProtection","3","/beta/informationProtection"
"search","searchEntity","3","/beta/search"
"education","educationRoot","3","/beta/education"
"solutions","solutionsRoot","3","/beta/solutions"
"agentRegistry","agentRegistry","3","/beta/agentRegistry"
"certificateAuthorities","certificateAuthorityPath","2","/beta/certificateAuthorities"
"app","commsApplication","2","/beta/app"
"tenantRelationships","tenantRelationship","2","/beta/tenantRelationships"
"trustFramework","trustFramework","2","/beta/trustFramework"
"financials","financials","1","/beta/financials"
"appCatalogs","appCatalogs","1","/beta/appCatalogs"
"identityGovernance","identityGovernance","1","/beta/identityGovernance"
"workplace","workplace","1","/beta/workplace"
"templates","template","1","/beta/templates"
"privacy","privacy","1","/beta/privacy"
"roleManagement","roleManagement","1","/beta/roleManagement"
"authenticationMethodsPolicy","authenticationMethodsPolicy","1","/beta/authenticationMethodsPolicy"
"termStore","termStore.store","0","/beta/termStore"
"network","network","0","/beta/network"
"external","externalConnectors.external","0","/beta/external"
"monitoring","deviceManagement.monitoring","0","/beta/monitoring"
"compliance","compliance","0","/beta/compliance"
"threatSubmission","security.threatSubmissionRoot","0","/beta/threatSubmission"
"admin","admin","0","/beta/admin"
"storage","storage","0","/beta/storage"
"networkAccess","networkaccess.networkAccessRoot","0","/beta/networkAccess"
